Class;gt;eval;rp;fp;fn;S;G;F1;t_int
car;188;190;175;15;13;0,930851063829787;0,921052631578947;0,925925925925926;2023-04-14T00:00:10Z
car;188;190;177;13;11;0,941489361702128;0,931578947368421;0,936507936507937;2023-04-14T00:00:20Z
car;188;190;177;13;11;0,941489361702128;0,931578947368421;0,936507936507937;2023-04-14T00:00:30Z
car;188;190;179;11;9;0,952127659574468;0,942105263157895;0,947089947089947;2023-04-14T00:00:50Z
car;188;190;179;11;9;0,952127659574468;0,942105263157895;0,947089947089947;2023-04-14T00:01:00Z
car;188;190;180;10;8;0,957446808510638;0,947368421052632;0,952380952380952;2023-04-14T00:01:30Z
car;188;190;181;9;7;0,962765957446808;0,952631578947368;0,957671957671958;2023-04-14T00:01:40Z
car;188;190;183;7;5;0,973404255319149;0,963157894736842;0,968253968253968;2023-04-14T00:02:30Z
car;188;190;181;9;7;0,962765957446808;0,952631578947368;0,957671957671958;2023-04-14T00:03:00Z
car;188;190;183;7;5;0,973404255319149;0,963157894736842;0,968253968253968;2023-04-14T00:05:00Z
car;188;190;183;7;5;0,973404255319149;0,963157894736842;0,968253968253968;2023-04-14T00:07:30Z
car;188;190;188;2;0;1,000000000000000;0,989473684210526;0,994708994708995;2023-04-14T00:15:00Z
