;Class;gt;eval;t_start;t_end
0;bicycle;12.0;20;08:00:00;08:02:30
1;person;1.0;4;08:00:00;08:02:30
2;bicycle;8.0;12;08:02:30;08:05:00
3;person;2.0;8;08:02:30;08:05:00
4;bicycle;13.0;22;08:05:00;08:07:30
5;person;2.0;2;08:05:00;08:07:30
6;motorcycle;0.0;2;08:05:00;08:07:30
7;bicycle;13.0;22;08:07:30;08:10:00
8;person;4.0;10;08:07:30;08:10:00
9;bicycle;5.0;10;08:10:00;08:12:30
10;person;3.0;6;08:10:00;08:12:30
11;bicycle;10.0;18;08:12:30;08:15:00
12;person;3.0;6;08:12:30;08:15:00
