;Class;gt;eval;t_start;t_end
0;car;15.0;15.0;18:30:00;18:31:00
1;person;1.0;2.0;18:30:00;18:31:00
2;bicycle;1.0;0.0;18:30:00;18:31:00
3;motorcycle;0.0;1.0;18:30:00;18:31:00
4;person;8.0;5.0;18:31:00;18:32:00
5;car;6.0;6.0;18:31:00;18:32:00
6;bicycle;1.0;0.0;18:31:00;18:32:00
7;car;14.0;14.0;18:32:00;18:33:00
8;person;8.0;5.0;18:32:00;18:33:00
9;bus;2.0;2.0;18:32:00;18:33:00
10;car;11.0;11.0;18:33:00;18:34:00
11;person;0.0;1.0;18:33:00;18:34:00
12;car;4.0;4.0;18:34:00;18:35:00
13;person;1.0;1.0;18:34:00;18:35:00
14;car;14.0;16.0;18:35:00;18:36:00
15;truck;1.0;1.0;18:35:00;18:36:00
16;car;11.0;9.0;18:36:00;18:37:00
17;person;5.0;5.0;18:36:00;18:37:00
18;bicycle;2.0;0.0;18:36:00;18:37:00
19;motorcycle;1.0;1.0;18:36:00;18:37:00
20;bus;1.0;1.0;18:36:00;18:37:00
21;car;9.0;9.0;18:37:00;18:38:00
22;person;6.0;4.0;18:37:00;18:38:00
23;car;13.0;13.0;18:38:00;18:39:00
24;person;2.0;3.0;18:38:00;18:39:00
25;truck;2.0;3.0;18:38:00;18:39:00
26;bicycle;1.0;0.0;18:38:00;18:39:00
27;motorcycle;1.0;1.0;18:38:00;18:39:00
28;car;18.0;17.0;18:39:00;18:40:00
29;person;0.0;1.0;18:39:00;18:40:00
30;car;8.0;9.0;18:40:00;18:41:00
31;person;1.0;1.0;18:40:00;18:41:00
32;bus;1.0;1.0;18:40:00;18:41:00
33;car;8.0;8.0;18:41:00;18:42:00
34;person;3.0;3.0;18:41:00;18:42:00
35;bus;1.0;1.0;18:41:00;18:42:00
36;car;8.0;8.0;18:42:00;18:43:00
37;person;2.0;2.0;18:42:00;18:43:00
38;bicycle;2.0;0.0;18:42:00;18:43:00
39;car;2.0;2.0;18:43:00;18:44:00
40;car;15.0;14.0;18:44:00;18:45:00
41;person;4.0;2.0;18:44:00;18:45:00
42;bus;1.0;1.0;18:44:00;18:45:00
