;Class;gt;eval;t_start;t_end
0;person;24.0;22.0;13:15:00;13:17:30
1;car;18.0;17.0;13:15:00;13:17:30
2;bicycle;2.0;0.0;13:15:00;13:17:30
3;motorcycle;2.0;3.0;13:15:00;13:17:30
4;truck;1.0;1.0;13:15:00;13:17:30
5;bus;1.0;1.0;13:15:00;13:17:30
6;car;43.0;42.0;13:17:30;13:20:00
7;person;14.0;14.0;13:17:30;13:20:00
8;bicycle;3.0;1.0;13:17:30;13:20:00
9;truck;0.0;2.0;13:17:30;13:20:00
10;car;26.0;22.0;13:20:00;13:22:30
11;person;19.0;23.0;13:20:00;13:22:30
12;bicycle;2.0;1.0;13:20:00;13:22:30
13;bus;1.0;1.0;13:20:00;13:22:30
14;truck;0.0;1.0;13:20:00;13:22:30
15;car;37.0;36.0;13:22:30;13:25:00
16;person;20.0;17.0;13:22:30;13:25:00
17;bicycle;1.0;1.0;13:22:30;13:25:00
18;motorcycle;1.0;1.0;13:22:30;13:25:00
19;bus;1.0;1.0;13:22:30;13:25:00
20;truck;0.0;3.0;13:22:30;13:25:00
21;car;34.0;30.0;13:25:00;13:27:30
22;person;25.0;29.0;13:25:00;13:27:30
23;bicycle;4.0;1.0;13:25:00;13:27:30
24;bus;2.0;4.0;13:25:00;13:27:30
25;motorcycle;1.0;0.0;13:25:00;13:27:30
26;truck;1.0;2.0;13:25:00;13:27:30
27;car;40.0;37.0;13:27:30;13:30:00
28;person;18.0;20.0;13:27:30;13:30:00
29;bus;4.0;4.0;13:27:30;13:30:00
30;truck;1.0;1.0;13:27:30;13:30:00
