Class;gt;eval;rp;fp;fn;S;G;F1;t_int
bus;6;6;6;0;0;1;1;1;2023-04-17T00:00:10Z
bus;6;6;6;0;0;1;1;1;2023-04-17T00:00:20Z
bus;6;6;6;0;0;1;1;1;2023-04-17T00:00:30Z
bus;6;6;6;0;0;1;1;1;2023-04-17T00:00:50Z
bus;6;6;6;0;0;1;1;1;2023-04-17T00:01:00Z
bus;6;6;6;0;0;1;1;1;2023-04-17T00:01:30Z
bus;6;6;6;0;0;1;1;1;2023-04-17T00:01:40Z
bus;6;6;6;0;0;1;1;1;2023-04-17T00:02:30Z
bus;6;6;6;0;0;1;1;1;2023-04-17T00:03:00Z
bus;6;6;6;0;0;1;1;1;2023-04-17T00:05:00Z
bus;6;6;6;0;0;1;1;1;2023-04-17T00:07:30Z
bus;6;6;6;0;0;1;1;1;2023-04-17T00:15:00Z
