Class;gt;eval;rp;fp;fn;S;G;t_int
car;157;155;146;9;11;0,929936305732484;0,941935483870968;2023-04-12T00:00:10Z
car;157;155;149;6;8;0,949044585987261;0,961290322580645;2023-04-12T00:00:20Z
car;157;155;151;4;6;0,961783439490446;0,974193548387097;2023-04-12T00:00:30Z
car;157;155;152;3;5;0,968152866242038;0,980645161290323;2023-04-12T00:00:50Z
car;157;155;153;2;4;0,974522292993631;0,987096774193548;2023-04-12T00:01:00Z
car;157;155;154;1;3;0,980891719745223;0,993548387096774;2023-04-12T00:01:30Z
car;157;155;154;1;3;0,980891719745223;0,993548387096774;2023-04-12T00:01:40Z
car;157;155;155;0;2;0,987261146496815;1,000000000000000;2023-04-12T00:02:30Z
car;157;155;154;1;3;0,980891719745223;0,993548387096774;2023-04-12T00:03:00Z
car;157;155;155;0;2;0,987261146496815;1,000000000000000;2023-04-12T00:05:00Z
car;157;155;155;0;2;0,987261146496815;1,000000000000000;2023-04-12T00:07:30Z
car;157;155;155;0;2;0,987261146496815;1,000000000000000;2023-04-12T00:15:00Z
