Class;gt;eval;rp;fp;fn;S;G;t_int
bicycle;6;1;1;0;5;0,166666666666667;1;2023-04-12T00:00:10Z
bicycle;6;1;1;0;5;0,166666666666667;1;2023-04-12T00:00:20Z
bicycle;6;1;1;0;5;0,166666666666667;1;2023-04-12T00:00:30Z
bicycle;6;1;1;0;5;0,166666666666667;1;2023-04-12T00:00:50Z
bicycle;6;1;1;0;5;0,166666666666667;1;2023-04-12T00:01:00Z
bicycle;6;1;1;0;5;0,166666666666667;1;2023-04-12T00:01:30Z
bicycle;6;1;1;0;5;0,166666666666667;1;2023-04-12T00:01:40Z
bicycle;6;1;1;0;5;0,166666666666667;1;2023-04-12T00:02:30Z
bicycle;6;1;1;0;5;0,166666666666667;1;2023-04-12T00:03:00Z
bicycle;6;1;1;0;5;0,166666666666667;1;2023-04-12T00:05:00Z
bicycle;6;1;1;0;5;0,166666666666667;1;2023-04-12T00:07:30Z
bicycle;6;1;1;0;5;0,166666666666667;1;2023-04-12T00:15:00Z
